TRANSACTION_NUMBER,INSTANCE_DATE,GROUP_EN,PROCEDURE_EN,IS_OFFPLAN_EN,IS_FREE_HOLD_EN,USAGE_EN,AREA_EN,PROP_TYPE_EN,PROP_SB_TYPE_EN,TRANS_VALUE,PROCEDURE_AREA,ACTUAL_AREA,ROOMS_EN,PARKING,NEAREST_METRO_EN,NEAREST_MALL_EN,NEAREST_LANDMARK_EN,TOTAL_BUYER,TOTAL_SELLER,MASTER_PROJECT_EN,PROJECT_EN
"11-10001-2026","2026-03-09 13:33:40","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","620000","42.87","42.87","Studio","B1-136","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","0","0","","PANTHEON ELYSEE"
"11-10002-2026","2026-03-06 12:20:06","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","540000","36.86","36.86","Studio","P-64","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","0","0","",""
"11-10003-2026","2026-03-06 12:23:51","Sales","Sale","Ready","Free Hold","Residential","INTERNATIONAL CITY PH 1","Unit","Flat","515000","66.5","66.5","1 B/R","","Rashidiya Metro Station","City Centre Mirdif","","0","0","",""
"11-10004-2026","2026-03-06 12:26:30","Sales","Sale","Ready","Free Hold","Residential","INTERNATIONAL CITY PH 1","Unit","Flat","342000","44","44","Studio","","Rashidiya Metro Station","City Centre Mirdif","","0","0","",""
"11-10005-2026","2026-03-09 10:15:15","Sales","Sale","Ready","Free Hold","Residential","PALM JUMEIRAH","Unit","Flat","22000000","561.12","561.12","3 B/R","G-330,G-331","Jumeirah Beach Resdency","Marina Mall","Burj Al Arab","0","0","","W Residences Dubai - The Palm"
"11-10006-2026","2026-03-06 13:19:48","Sales","Sale","Ready","Free Hold","Residential","BURJ KHALIFA","Unit","Hotel Apartment","1675000","85.35","85.35","1 B/R","P4-20","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","0","0","","THE DISTINCTION"
"11-10007-2026","2026-03-06 14:18:00","Sales","Sale","Ready","Free Hold","Residential","REMRAAM","Unit","Flat","1100000","93.4","93.4","2 B/R","TD10-G-61","","","Motor City","0","0","","REMRAAM"
"11-10008-2026","2026-03-06 13:02:08","Sales","Sale","Ready","Free Hold","Residential","DUBAI MARINA","Unit","Flat","1333500","41.37","41.37","Studio","B1-79","Jumeirah Beach Resdency","Marina Mall","Burj Al Arab","0","0","","BAY CENTRAL WEST & CENTRAL TOWERS"
"11-10009-2026","2026-03-06 15:56:08","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","1500000","84.69","84.69","1 B/R","P2-128","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","0","0","","Binghatti Phantom"
"11-10010-2026","2026-03-06 12:57:49","Sales","Sale","Ready","Free Hold","Residential","BURJ KHALIFA","Unit","Flat","1900000","80.74","80.74","1 B/R","B2-2181","Business Bay Metro Station","Dubai Mall","Downtown Dubai","0","0","","CLAREN 1"
"11-10015-2026","2026-03-06 13:42:16","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Hotel Apartment","620000","43.81","43.81","Studio","P1-27","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","0","0","","Milano Giovanni Boutique Suites"
"11-10016-2026","2026-03-06 13:48:39","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH LAKES TOWERS","Unit","Flat","2700000","192.96","192.96","3 B/R","B3-137","Damac Properties","Marina Mall","Burj Al Arab","0","0","",""
