TRANSACTION_NUMBER,INSTANCE_DATE,GROUP_EN,PROCEDURE_EN,IS_OFFPLAN_EN,IS_FREE_HOLD_EN,USAGE_EN,AREA_EN,PROP_TYPE_EN,PROP_SB_TYPE_EN,TRANS_VALUE,PROCEDURE_AREA,ACTUAL_AREA,ROOMS_EN,PARKING,NEAREST_METRO_EN,NEAREST_MALL_EN,NEAREST_LANDMARK_EN,TOTAL_BUYER,TOTAL_SELLER,MASTER_PROJECT_EN,PROJECT_EN
"11-10076-2026","2026-03-09 10:56:07","Sales","Sale","Ready","Free Hold","Residential","Al Yelayiss 2","Building","Villa","3300000","261.64","261.64","4 B/R","","","","","0","0","","MAHA TOWNHOUSES "
"11-10132-2026","2026-03-09 12:00:23","Sales","Sale","Ready","Free Hold","Residential","RUKAN","Building","Villa","1740000","123.71","123.71","2 B/R","","","","","0","0","","Rukan 3"
"11-10136-2026","2026-03-09 11:57:12","Sales","Sale","Ready","Free Hold","Residential","SERENA","Building","Villa","2950000","186.3","186.3","3 B/R","","","","Hamdan Sports Complex","0","0","","Serena Casa Dora"
"11-10153-2026","2026-03-09 12:28:25","Sales","Sale","Ready","Free Hold","Residential","TILAL AL GHAF","Building","Villa","4000000","140.42","140.42","3 B/R","","","","","0","0","","Elan"
"11-10179-2026","2026-03-09 13:48:17","Sales","Sale","Ready","Free Hold","Residential","AL FURJAN","Building","Villa","3550000","181.72","181.72","3 B/R","","Ibn Battuta Metro Station","Ibn-e-Battuta Mall","Expo 2020 Site","0","0","",""
"11-10190-2026","2026-03-09 13:58:14","Sales","Sale","Ready","Free Hold","Residential","DUBAI HILLS","Building","Villa","4850000","194.73","194.73","3 B/R","","First Abu Dhabi Bank Metro Station","Mall of the Emirates","Global Village","0","0","","Maple III"
"11-10451-2026","2026-03-10 10:22:43","Sales","Sale","Ready","Free Hold","Residential","VILLANOVA","Building","Villa","3150000","236.37","236.37","4 B/R","","","","IMG World Adventures","0","0","","Villanova Amaranta "
"11-10452-2026","2026-03-10 10:17:41","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH GOLF","Building","Villa","4500000","138.6","138.6","3 B/R","","Damac Properties","","Sports City Swimming Academy","0","0","","JASMINE LANE"
"11-10460-2026","2026-03-10 10:55:43","Sales","Sale","Ready","Free Hold","Residential","EMIRATE LIVING","Building","Villa","4875000","172.53","172.53","2 B/R","","Damac Properties","Marina Mall","Sports City Swimming Academy","0","0","","Emirates Living - Springs 2"
"11-10468-2026","2026-03-10 11:16:17","Sales","Sale","Ready","Free Hold","Residential","EMIRATE LIVING","Building","Villa","6100000","340.27","340.27","3 B/R","","Damac Properties","Marina Mall","Sports City Swimming Academy","0","0","","Emirates Living - Springs 2"
"11-10477-2026","2026-03-10 11:01:17","Sales","Sale","Ready","Free Hold","Residential","EMIRATE LIVING","Building","Villa","6550000","253.74","253.74","3 B/R","","Damac Properties","Marina Mall","Sports City Swimming Academy","0","0","","Emirates Living - Springs 1"
"11-10493-2026","2026-03-10 11:52:11","Sales","Sale","Ready","Free Hold","Residential","AL FURJAN","Building","Villa","3500000","207.11","207.11","3 B/R","","Ibn Battuta Metro Station","Ibn-e-Battuta Mall","Expo 2020 Site","0","0","",""
"11-10506-2026","2026-03-10 12:07:54","Sales","Sale","Ready","Free Hold","Residential","Al Hebiah Fourth","Building","Villa","7500000","226.54","226.54","4 B/R","","","","","0","0","","Aura"
